Temperature (F),Rupture Time (hr),Stress (ksi)
5070,0.3368584479,2.652999923
5070,0.5852557071,2.250254187
5070,1.746677276,1.806719368
5070,3.069306786,1.407045148
4890,0.3280541032,3.166209237
4890,0.5324357352,2.636870974
4890,1.295402505,2.117132315
4890,1.855679138,2.053554402
4890,2.118423236,1.795735393
4890,2.293605064,1.828889285
4530,0.7569707044,3.127828238
4530,0.8289233911,3.05245637
4530,4.091841682,1.932069013
4080,0.3268152666,6.868802729
4080,0.7714268744,5.72045155
4080,2.024394132,4.090445742