Temperature (C),Rupture Time (hr),Stress (MPa)
871,6.073338611,250.3182774
871,16.75349658,242.4054107
871,386.87496,220.1362446
982,14.08561762,225.9984164
982,60.47059698,207.0423813
982,390.2447775,172.2512397
1100,4.561773416,207.0423813
1100,85.54672536,154.1596006
1100,229.9227371,137.9681359
1100,367.2584115,122.4002776
1200,1.044317106,171.748974
1200,25.40366762,137.9681359
1200,34.41304987,117.4972052
1482,3.087750385,89.55389854
1482,17.19510755,69.0580444
1482,27.22878411,68.85667875
1482,33.23971186,51.72041578
1482,100.8710353,51.41923346